date,open,high,low,close,volume
2025-07-23,3430.96,3439.09,3381.47,3387.2,244737.0
2025-07-24,3390.63,3393.37,3351.47,3368.58,222177.0
2025-07-25,3369.41,3373.48,3325.06,3336.6,192785.0
2025-07-28,3329.39,3345.37,3301.78,3314.55,213902.0
2025-07-29,3314.12,3334.12,3308.11,3326.58,212702.0
2025-07-30,3327.69,3334.05,3268.06,3275.04,228532.0
2025-07-31,3277.69,3314.84,3276.36,3290.09,215339.0
2025-08-01,3291.53,3363.45,3281.66,3363.33,242059.0
2025-08-04,3364.22,3385.4,3345.08,3373.66,189336.0
2025-08-05,3376.23,3390.47,3349.87,3380.82,172725.0
2025-08-06,3381.32,3385.35,3358.21,3369.32,166496.0
2025-08-07,3372.41,3401.85,3365.23,3395.68,279197.0
2025-08-08,3404.67,3408.01,3376.37,3397.41,437190.0
2025-08-11,3399.97,3401.64,3341.25,3342.84,276267.0
2025-08-12,3344.23,3359.16,3331.1,3348.14,229051.0
2025-08-13,3349.76,3370.76,3342.71,3355.96,178463.0
2025-08-14,3357.33,3374.76,3329.87,3335.45,215911.0
2025-08-15,3336.73,3348.78,3332.27,3336.09,163241.0
2025-08-18,3334.75,3358.43,3323.61,3332.94,163076.0
2025-08-19,3333.37,3345.35,3314.93,3315.67,161369.0
2025-08-20,3316.5,3350.25,3311.57,3348.37,161031.0
2025-08-21,3350.98,3352.19,3325.19,3338.63,165631.0
2025-08-22,3340.06,3378.84,3321.49,3371.81,190474.0
2025-08-25,3368.63,3376.32,3359.78,3365.7,131427.0
2025-08-26,3366.53,3393.65,3351.38,3393.64,206296.0
2025-08-27,3390.57,3398.81,3373.76,3397.48,181258.0
2025-08-28,3398.29,3423.19,3384.63,3417.12,207081.0
2025-08-29,3417.3,3454.06,3404.29,3448.37,234320.0
2025-09-01,3445.85,3489.79,3437.05,3476.06,207287.0
2025-09-02,3475.96,3540.06,3470.11,3533.58,321347.0
2025-09-03,3532.64,3578.59,3526.38,3559.16,297205.0
2025-09-04,3560.35,3564.18,3511.77,3545.88,274325.0
2025-09-05,3545.39,3600.16,3540.13,3587.31,299677.0
2025-09-08,3592.13,3646.44,3579.66,3635.93,287357.0
2025-09-09,3636.26,3674.91,3626.13,3626.34,297787.0
2025-09-10,3627.46,3657.52,3620.46,3640.69,255961.0
2025-09-11,3644.27,3649.2,3612.93,3633.98,243629.0
2025-09-12,3636.02,3656.66,3630.5,3643.42,222392.0
2025-09-15,3644.44,3685.58,3626.65,3678.86,232998.0
2025-09-16,3680.0,3703.11,3674.74,3689.91,248386.0
2025-09-17,3691.45,3707.38,3646.2,3660.03,291750.0
