report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2016-02-16T00:00:00.000,428912,209101,91741,127800,259784,2016-02-16
2016-02-23T00:00:00.000,445290,227381,82403,120854,284003,2016-02-23
2016-03-01T00:00:00.000,450555,223186,70773,115571,287002,2016-03-01
2016-03-08T00:00:00.000,499110,252895,78085,116493,311865,2016-03-08
2016-03-15T00:00:00.000,493086,247659,78147,118610,304141,2016-03-15
2016-03-22T00:00:00.000,510579,258646,79815,127081,327075,2016-03-22
2016-03-29T00:00:00.000,480461,262082,72276,123227,331191,2016-03-29
2016-04-05T00:00:00.000,474094,263781,73381,118103,325348,2016-04-05
2016-04-12T00:00:00.000,504523,286341,72534,122181,353968,2016-04-12
2016-04-19T00:00:00.000,503331,291143,74306,117743,357864,2016-04-19
2016-04-26T00:00:00.000,497884,288173,67316,116445,356553,2016-04-26
2016-05-03T00:00:00.000,565774,338476,66828,116644,411545,2016-05-03
2016-05-10T00:00:00.000,579777,337251,72353,123211,408207,2016-05-10
2016-05-17T00:00:00.000,595077,340748,74460,122477,412720,2016-05-17
2016-05-24T00:00:00.000,542958,291266,84634,146205,371418,2016-05-24
2016-05-31T00:00:00.000,494321,274589,77454,133624,347662,2016-05-31
2016-06-07T00:00:00.000,496330,295688,67069,112940,356632,2016-06-07
2016-06-14T00:00:00.000,545357,347557,67695,113281,411358,2016-06-14
2016-06-21T00:00:00.000,571517,358825,66096,119782,431919,2016-06-21
2016-06-28T00:00:00.000,613792,373128,71208,127169,453490,2016-06-28
2016-07-05T00:00:00.000,652971,389590,73627,123735,463942,2016-07-05
2016-07-12T00:00:00.000,633020,378081,80618,123258,448710,2016-07-12
2016-07-19T00:00:00.000,617069,366871,80960,119433,434910,2016-07-19
2016-07-26T00:00:00.000,576325,347426,68471,117420,426443,2016-07-26
2016-08-02T00:00:00.000,582211,365801,71618,113911,437938,2016-08-02
2016-08-09T00:00:00.000,575399,356471,70024,116251,429192,2016-08-09
2016-08-16T00:00:00.000,572496,351535,67684,116128,427121,2016-08-16
2016-08-23T00:00:00.000,572973,359785,65176,108571,426046,2016-08-23
2016-08-30T00:00:00.000,558398,340586,64245,109854,411067,2016-08-30
2016-09-06T00:00:00.000,590656,370375,62515,110470,440443,2016-09-06
2016-09-13T00:00:00.000,575002,351776,66363,116841,428212,2016-09-13
2016-09-20T00:00:00.000,558791,326326,70147,120314,410929,2016-09-20
2016-09-27T00:00:00.000,583161,358972,67068,123156,437750,2016-09-27
2016-10-04T00:00:00.000,544824,324136,78628,111864,383106,2016-10-04
2016-10-11T00:00:00.000,500328,283386,88167,112362,333561,2016-10-11
2016-10-18T00:00:00.000,497061,274345,94727,115441,318112,2016-10-18
2016-10-25T00:00:00.000,507617,285376,88396,114700,332299,2016-10-25
2016-11-01T00:00:00.000,521506,288308,73177,115398,354649,2016-11-01
2016-11-08T00:00:00.000,528203,289860,72622,114915,360501,2016-11-08
2016-11-15T00:00:00.000,479237,245750,68090,115191,315157,2016-11-15
2016-11-22T00:00:00.000,461062,241646,74561,97975,290147,2016-11-22
2016-11-29T00:00:00.000,405661,229731,78161,92628,260451,2016-11-29
2016-12-06T00:00:00.000,393524,227675,91295,86237,241181,2016-12-06
2016-12-13T00:00:00.000,397034,229755,100444,86143,236029,2016-12-13
2016-12-20T00:00:00.000,398661,219067,104233,87960,221982,2016-12-20
2016-12-27T00:00:00.000,401513,206538,108195,89975,210942,2016-12-27
2017-01-03T00:00:00.000,424673,208855,112305,97410,215022,2017-01-03
2017-01-10T00:00:00.000,444001,214000,104518,96763,222579,2017-01-10
2017-01-17T00:00:00.000,467937,218144,111103,101399,224510,2017-01-17
2017-01-24T00:00:00.000,482374,209854,100447,109000,235374,2017-01-24
2017-01-31T00:00:00.000,398433,212414,93259,101784,233587,2017-01-31
2017-02-07T00:00:00.000,415543,216408,99259,106024,240170,2017-02-07
2017-02-14T00:00:00.000,415128,212259,102507,105674,233462,2017-02-14
2017-02-21T00:00:00.000,427168,219673,95910,103861,243425,2017-02-21
2017-02-28T00:00:00.000,446081,247494,83696,100180,280087,2017-02-28
2017-03-07T00:00:00.000,434401,229969,96284,99484,252132,2017-03-07
2017-03-14T00:00:00.000,426170,210315,104277,102535,225822,2017-03-14
2017-03-21T00:00:00.000,446880,219719,103467,101282,230279,2017-03-21
2017-03-28T00:00:00.000,449418,227839,90019,104760,256874,2017-03-28
2017-04-04T00:00:00.000,427808,239061,83625,96115,267131,2017-04-04
2017-04-11T00:00:00.000,456131,253004,80338,98119,285483,2017-04-11
2017-04-18T00:00:00.000,472263,279311,83543,97769,308833,2017-04-18
2017-04-25T00:00:00.000,475985,287468,86791,100335,314915,2017-04-25
2017-05-02T00:00:00.000,461905,276032,86398,99054,303040,2017-05-02
2017-05-09T00:00:00.000,433033,236115,86109,104960,269382,2017-05-09
2017-05-16T00:00:00.000,435021,221532,94808,113719,256578,2017-05-16
2017-05-23T00:00:00.000,462572,241752,81985,112114,286405,2017-05-23
2017-05-30T00:00:00.000,434246,250542,83452,103751,286970,2017-05-30
2017-06-06T00:00:00.000,494041,312240,107775,108298,324652,2017-06-06
2017-06-13T00:00:00.000,471134,297178,106904,105193,308804,2017-06-13
2017-06-20T00:00:00.000,445841,252620,101945,110287,275303,2017-06-20
2017-06-27T00:00:00.000,453144,236586,104914,117497,267360,2017-06-27
2017-07-03T00:00:00.000,457201,221681,127882,131190,238416,2017-07-03
2017-07-11T00:00:00.000,475669,217637,157377,147818,221734,2017-07-11
2017-07-18T00:00:00.000,484204,217232,157094,153064,226699,2017-07-18
2017-07-25T00:00:00.000,463827,220299,129468,148926,252269,2017-07-25
2017-08-01T00:00:00.000,448709,239766,110094,126891,270276,2017-08-01
2017-08-08T00:00:00.000,448727,246377,97540,125168,284679,2017-08-08
2017-08-15T00:00:00.000,477921,277730,89996,122138,318769,2017-08-15
2017-08-22T00:00:00.000,500443,295711,87273,125036,344954,2017-08-22
2017-08-29T00:00:00.000,538875,318883,87836,119030,367059,2017-08-29
2017-09-05T00:00:00.000,566817,336073,90775,125145,386952,2017-09-05
2017-09-12T00:00:00.000,580606,351492,96732,123298,395396,2017-09-12
2017-09-19T00:00:00.000,570096,330646,94557,129222,382263,2017-09-19
2017-09-26T00:00:00.000,549637,303255,90661,134501,367972,2017-09-26
2017-10-03T00:00:00.000,525127,287296,83441,126749,351172,2017-10-03
2017-10-10T00:00:00.000,520005,279227,79115,124178,347175,2017-10-10
2017-10-17T00:00:00.000,528800,284617,83893,126678,348302,2017-10-17
2017-10-24T00:00:00.000,526674,275521,84136,125468,336121,2017-10-24
2017-10-31T00:00:00.000,531918,268710,75615,128371,339019,2017-10-31
2017-11-07T00:00:00.000,536843,272571,76781,123149,338436,2017-11-07
2017-11-14T00:00:00.000,533054,271496,76412,122703,338494,2017-11-14
2017-11-21T00:00:00.000,531612,272934,71107,124856,349912,2017-11-21
2017-11-28T00:00:00.000,503810,287384,62967,116831,363372,2017-11-28
2017-12-05T00:00:00.000,472795,251234,77905,132509,322399,2017-12-05
2017-12-12T00:00:00.000,446618,201912,94844,155730,275193,2017-12-12
2017-12-19T00:00:00.000,453595,197473,83678,156226,284443,2017-12-19
2017-12-26T00:00:00.000,456470,202590,66642,155469,304938,2017-12-26
2018-01-02T00:00:00.000,500731,241428,78160,155104,332704,2018-01-02
2018-01-09T00:00:00.000,555455,289161,85873,150099,370370,2018-01-09
2018-01-16T00:00:00.000,582333,301863,90152,158202,390709,2018-01-16
2018-01-23T00:00:00.000,582421,305812,91128,161458,396010,2018-01-23
2018-01-30T00:00:00.000,559332,298327,91065,154690,379766,2018-01-30
2018-02-06T00:00:00.000,535321,273828,82951,158650,364101,2018-02-06
2018-02-13T00:00:00.000,511745,251860,76254,150847,345383,2018-02-13
2018-02-20T00:00:00.000,528154,257205,66283,154913,369791,2018-02-20
2018-02-27T00:00:00.000,532860,251981,73263,161527,361323,2018-02-27
2018-03-06T00:00:00.000,508100,245587,61764,153421,358324,2018-03-06
2018-03-13T00:00:00.000,526762,234431,66483,161604,350414,2018-03-13
2018-03-20T00:00:00.000,545499,223882,75151,173307,340577,2018-03-20
2018-03-27T00:00:00.000,529690,259032,55678,157443,383803,2018-03-27
2018-04-03T00:00:00.000,493141,234677,68088,162608,351473,2018-04-03
2018-04-10T00:00:00.000,499588,234457,79085,166796,342448,2018-04-10
2018-04-17T00:00:00.000,510229,237288,74219,173535,358797,2018-04-17
2018-04-24T00:00:00.000,506410,225804,89158,175715,337515,2018-04-24
2018-05-01T00:00:00.000,507756,209577,102798,179735,311607,2018-05-01
2018-05-08T00:00:00.000,491398,198548,91108,181586,316570,2018-05-08
2018-05-15T00:00:00.000,519958,201468,109025,195925,314014,2018-05-15
2018-05-22T00:00:00.000,502942,189677,98720,203101,318676,2018-05-22
2018-05-29T00:00:00.000,469382,193652,78522,171361,308050,2018-05-29
2018-06-05T00:00:00.000,450641,185321,73905,164024,298371,2018-06-05
2018-06-12T00:00:00.000,448695,192752,72512,159416,300003,2018-06-12
2018-06-19T00:00:00.000,468345,202915,106403,161475,275599,2018-06-19
2018-06-26T00:00:00.000,468573,195118,118446,171601,266564,2018-06-26
2018-07-03T00:00:00.000,494164,210483,132156,172917,266067,2018-07-03
2018-07-10T00:00:00.000,503593,214310,132876,165561,265955,2018-07-10
2018-07-17T00:00:00.000,528278,218427,160586,181266,254901,2018-07-17
2018-07-24T00:00:00.000,496620,220620,172023,162640,228308,2018-07-24
2018-07-31T00:00:00.000,452655,209255,173918,145254,193172,2018-07-31
2018-08-07T00:00:00.000,459474,208292,195604,154203,179812,2018-08-07
2018-08-14T00:00:00.000,476739,211779,215467,164195,171545,2018-08-14
2018-08-21T00:00:00.000,483730,213500,222210,166529,168214,2018-08-21
2018-08-28T00:00:00.000,479283,207370,210433,165581,173843,2018-08-28
2018-09-04T00:00:00.000,473118,199762,213259,168732,162207,2018-09-04
2018-09-11T00:00:00.000,469450,198367,205957,169192,169179,2018-09-11
2018-09-18T00:00:00.000,469436,197797,208641,171293,169602,2018-09-18
2018-09-25T00:00:00.000,460279,192940,210588,167904,160824,2018-09-25
2018-10-02T00:00:00.000,459776,192490,214312,169371,160496,2018-10-02
2018-10-09T00:00:00.000,465253,179746,217921,174309,148443,2018-10-09
2018-10-16T00:00:00.000,474418,189200,171533,166143,198139,2018-10-16
2018-10-23T00:00:00.000,477832,192578,163190,163414,209934,2018-10-23
2018-10-30T00:00:00.000,474941,168754,155560,165857,197062,2018-10-30
2018-11-06T00:00:00.000,494911,169141,150115,173897,212033,2018-11-06
2018-11-13T00:00:00.000,539520,168416,177663,201354,203177,2018-11-13
2018-11-20T00:00:00.000,525940,165506,156610,201259,224399,2018-11-20
2018-11-27T00:00:00.000,442801,156779,154908,172358,188458,2018-11-27
2018-12-04T00:00:00.000,399919,173019,124018,135067,193316,2018-12-04
2018-12-11T00:00:00.000,402250,169600,109101,134285,211653,2018-12-11
2018-12-18T00:00:00.000,412485,182168,106208,132148,224823,2018-12-18
2018-12-24T00:00:00.000,442727,208622,97637,130090,258309,2018-12-24
2018-12-31T00:00:00.000,451360,210141,86369,130285,274899,2018-12-31
2019-01-08T00:00:00.000,455232,199560,100344,137605,258792,2019-01-08
2019-01-15T00:00:00.000,501605,201796,113883,179059,287172,2019-01-15
2019-01-22T00:00:00.000,513509,186510,112006,197278,289355,2019-01-22
2019-01-29T00:00:00.000,483390,212318,112725,163922,282531,2019-01-29
2019-02-05T00:00:00.000,479736,218200,109105,157588,288830,2019-02-05
2019-02-12T00:00:00.000,476083,214170,109296,159676,285787,2019-02-12
2019-02-19T00:00:00.000,504639,254086,108439,146161,312638,2019-02-19
2019-02-26T00:00:00.000,501268,236835,101139,146042,305887,2019-02-26
