report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2019-03-05T00:00:00.000,471311,202628,114610,155732,269729,2019-03-05
2019-03-12T00:00:00.000,530030,205250,126431,192029,300503,2019-03-12
2019-03-19T00:00:00.000,514163,204325,115929,186704,302363,2019-03-19
2019-03-26T00:00:00.000,509575,214897,94959,161201,312635,2019-03-26
2019-04-02T00:00:00.000,440170,193784,99228,139514,257744,2019-04-02
2019-04-09T00:00:00.000,447539,199507,94143,132478,265287,2019-04-09
2019-04-16T00:00:00.000,440581,183213,126940,145702,224132,2019-04-16
2019-04-23T00:00:00.000,440048,176691,139296,154403,211799,2019-04-23
2019-04-30T00:00:00.000,430011,177275,111056,147288,235600,2019-04-30
2019-05-07T00:00:00.000,450039,185801,110390,142078,238437,2019-05-07
2019-05-14T00:00:00.000,517995,226361,101825,159444,296627,2019-05-14
2019-05-21T00:00:00.000,508643,203628,114823,167827,275765,2019-05-21
2019-05-28T00:00:00.000,505126,194463,107775,191290,301244,2019-05-28
2019-06-04T00:00:00.000,481495,240477,84362,132517,305093,2019-06-04
2019-06-11T00:00:00.000,496663,250114,65876,137719,339746,2019-06-11
2019-06-18T00:00:00.000,525636,274633,70310,141993,365848,2019-06-18
2019-06-25T00:00:00.000,577605,298108,61554,160228,420378,2019-06-25
2019-07-02T00:00:00.000,605949,312702,53756,160282,447104,2019-07-02
2019-07-09T00:00:00.000,598977,306105,61342,163955,442371,2019-07-09
2019-07-16T00:00:00.000,601900,309535,64034,175785,453193,2019-07-16
2019-07-23T00:00:00.000,616859,311881,60631,175785,463624,2019-07-23
2019-07-30T00:00:00.000,563298,312214,57826,141164,429131,2019-07-30
2019-08-06T00:00:00.000,600317,350558,58013,137010,461335,2019-08-06
2019-08-13T00:00:00.000,593962,346223,56133,136823,460550,2019-08-13
2019-08-20T00:00:00.000,594807,352294,52301,133408,469658,2019-08-20
